[2026-01-03T22:42:34.025Z] ✓ go_to_definition | symbolName="UserIdentity", kind="any" | 70ms
[2026-01-03T23:09:01.046Z] ✓ search_code | query: "redirect prop pattern after form submission" | limit=20, type="all" | results: 0 | 10758ms
[2026-01-03T23:09:17.336Z] ✓ search_code | query: "navigate to create page with parameters parent context" | limit=25, type="all" | results: 0 | 10742ms
[2026-01-04T03:07:01.416Z] ✓ find_references | symbolName="useRecentSelections", includeDefinition=true | results: 14 | 40ms
[2026-01-04T03:07:01.827Z] ✓ go_to_definition | symbolName="useRecentSelections", kind="function" | 180ms
[2026-01-04T03:07:27.573Z] ✓ search_code | query: "ReferenceInput principal" | limit=10, type="all" | results: 0 | 10783ms
[2026-01-04T06:44:04.489Z] ✓ search_code | query: "recently viewed tracking storage" | limit=20, type="all" | results: 0 | 10686ms
[2026-01-04T06:44:15.225Z] ✓ search_code | query: "activity log pre-fill contact" | limit=20, type="all" | results: 0 | 10525ms
[2026-01-05T05:32:01.093Z] ✓ search_code | query: "task form tabs" | limit=10, type="component" | results: 0 | 10584ms
[2026-01-05T18:54:48.871Z] ✓ search_code | query: "state filter organization" | limit=20, type="all" | results: 0 | 10683ms
[2026-01-05T18:56:16.910Z] ✓ search_code | query: "state filter checkbox column" | limit=20, type="component" | results: 0 | 10527ms
[2026-01-09T01:58:49.995Z] ✓ search_code | query: "switch statement default case handler" | limit=20, type="all" | results: 0 | 10770ms
[2026-01-09T03:46:27.207Z] ✓ find_references | symbolName="getUserDigestSummary", includeDefinition=false | 17ms
[2026-01-09T03:46:27.350Z] ✓ find_references | symbolName="generateDailyDigests", includeDefinition=false | 1ms
[2026-01-10T01:31:48.699Z] ✓ search_code | query: "useForm" | limit=3, type="all" | results: 3 | 10614ms
[2026-01-10T01:38:11.662Z] ✓ go_to_definition | symbolName="unifiedDataProvider", kind="any" | 3ms
[2026-01-10T17:27:08.529Z] ✓ search_code | query: "form validation" | limit=3, type="all" | results: 3 | 12201ms
[2026-01-10T17:29:24.495Z] ✓ search_code | query: "form validation" | limit=3, type="all" | results: 3 | 2968ms
[2026-01-10T17:40:27.484Z] ✓ search_code | query: "authentication handling" | limit=3, type="all" | results: 3 | 566ms
[2026-01-10T19:06:24.664Z] ✓ find_references | symbolName="EMPTY_PLACEHOLDER", includeDefinition=true | results: 7 | 863ms
[2026-01-10T23:02:58.548Z] ✓ search_code | query: "withLifecycle wrapper callbacks lifecycle hooks" | limit=5, type="function" | results: 5 | 2750ms
[2026-01-11T00:18:13.356Z] ✓ search_code | query: "unifiedDataProvider" | limit=1, type="all" | results: 1 | 1187ms
[2026-01-11T19:41:51.494Z] ✓ find_references | symbolName="useKPIMetrics", includeDefinition=false | results: 20 | 30ms
[2026-01-15T16:45:11.245Z] ✓ find_references | symbolName="genericMemo", includeDefinition=true | results: 9 | 163ms
[2026-01-26T20:33:36.329Z] ✓ search_code | query: "ReferenceField created_by sales SaleName" | limit=10, type="all" | results: 0 | 10860ms
[2026-01-30T01:37:52.481Z] ✓ search_code | query: "segment organizations form input field" | limit=20, type="all" | results: 0 | 10895ms
[2026-01-30T01:38:03.118Z] ✓ search_code | query: "segment_id organizations schema validation" | limit=20, type="all" | results: 0 | 10562ms
[2026-01-30T01:38:15.116Z] ✓ search_code | query: "ReferenceInput segments organizations" | limit=15, type="all" | results: 0 | 11929ms
[2026-01-30T19:45:10.248Z] ✓ search_code | query: "custom hooks use" | limit=50, type="hook" | results: 0 | 12446ms
[2026-01-30T22:25:13.711Z] ✓ search_code | query: "FormSectionWithProgress requiredFields" | limit=20, type="all" | results: 0 | 10642ms
[2026-01-31T23:38:57.258Z] ✓ search_code | query: "FormProgressBar totalRequired context pattern usage" | limit=10, type="all" | results: 0 | 97ms
[2026-01-31T23:38:57.371Z] ✓ search_code | query: "React Admin FieldTitle required asterisk automatic" | limit=10, type="all" | results: 0 | 28ms
[2026-01-31T23:38:57.482Z] ✓ search_code | query: "FormSectionWithProgress Circle CheckCircle2 icon incomplete complete" | limit=10, type="all" | results: 0 | 26ms
[2026-02-01T00:53:16.470Z] ✓ search_code | query: "Organization creation form Scope dropdown" | limit=20, type="all" | results: 0 | 94ms
[2026-02-01T00:54:05.324Z] ✓ search_code | query: "useWatch form state reactive fields" | limit=10, type="all" | results: 0 | 22ms
[2026-02-01T00:54:10.631Z] ✓ search_code | query: "ORG_SCOPE_CHOICES organization scope" | limit=10, type="all" | results: 0 | 12ms
[2026-02-01T02:23:22.297Z] ✓ find_references | symbolName="ParentOrganizationInput", includeDefinition=true | results: 4 | 3ms
[2026-02-01T02:23:27.706Z] ✓ find_references | symbolName="HierarchicalSelectInput", includeDefinition=true | 1ms
[2026-02-01T02:24:18.387Z] ✓ search_code | query: "get_organization_descendants RPC" | limit=15, type="all" | results: 0 | 21ms
[2026-02-01T04:07:18.808Z] ✓ search_code | query: "parent_organization_id filter useGetList" | limit=10, type="all" | results: 0 | 24ms
[2026-02-01T04:07:34.809Z] ✓ go_to_definition | symbolName="composedDataProvider", kind="any" | 2ms
[2026-02-02T03:33:05.604Z] ✓ search_code | query: "state filter 50 states checkbox color" | limit=15, type="all" | results: 0 | 56ms
[2026-02-02T03:33:05.709Z] ✓ search_code | query: "tag color dynamic assignment many choices" | limit=15, type="all" | results: 0 | 21ms
[2026-02-02T03:33:05.837Z] ✓ search_code | query: "badge color reference field operator segment" | limit=15, type="all" | results: 0 | 24ms
[2026-02-05T17:58:44.270Z] ✓ go_to_definition | symbolName="TaskCompletionDialog", kind="function" | 118ms
[2026-02-06T00:57:23.610Z] ✓ search_code | query: "related_task_id TaskCreate" | limit=20, type="all" | results: 0 | 228ms
[2026-02-06T02:50:15.582Z] ✓ find_references | symbolName="QuickLogForm", includeDefinition=false | results: 9 | 9ms
[2026-02-06T02:50:19.125Z] ✓ search_code | query: "TaskCompletionDialog trigger checkbox click" | limit=15, type="all" | results: 0 | 86ms
[2026-02-06T02:50:27.607Z] ✓ find_references | symbolName="TaskCompletionDialog", includeDefinition=false | results: 3 | 2ms
[2026-02-06T02:50:37.538Z] ✓ search_code | query: "task checkbox click completed_at update mutation" | limit=20, type="all" | results: 0 | 31ms
[2026-02-06T02:50:56.991Z] ✓ find_references | symbolName="TaskKanbanCard", includeDefinition=false | results: 5 | 4ms
[2026-02-06T03:25:18.894Z] ✓ find_references | symbolName="useEntitySelection", includeDefinition=true | 2ms
[2026-02-06T15:37:41.308Z] ✓ find_references | symbolName="useDebouncedSearch", includeDefinition=false | results: 5 | 21ms
[2026-02-06T18:02:54.810Z] ✓ search_code | query: "ReferenceInput contact in task form" | limit=10, type="all" | results: 0 | 97ms
[2026-02-06T18:03:20.997Z] ✓ search_code | query: "contacts_summary handler getList filter" | limit=15, type="all" | results: 0 | 32ms
[2026-02-12T04:05:14.954Z] ✓ find_references | symbolName="useShowContext", includeDefinition=true | 15ms
[2026-02-12T04:05:15.035Z] ✓ find_references | symbolName="useStore", includeDefinition=true | 0ms
[2026-02-12T04:05:15.128Z] ✓ find_references | symbolName="EmptyState", includeDefinition=true | results: 21 | 5ms
[2026-02-12T04:05:24.756Z] ✓ go_to_definition | symbolName="EmptyState", kind="function" | 5ms
[2026-02-12T04:05:24.836Z] ✓ find_references | symbolName="FilterChipBar", includeDefinition=true | results: 17 | 2ms
[2026-02-12T04:05:24.945Z] ✓ find_references | symbolName="useReportData", includeDefinition=true | results: 20 | 2ms
[2026-02-12T04:05:43.502Z] ✓ search_code | query: "EmptyState component reports" | limit=10, type="component" | results: 0 | 65ms
[2026-02-12T04:06:04.001Z] ✓ go_to_definition | symbolName="useFilterChipBar", kind="function" | 1ms
[2026-02-12T04:06:04.075Z] ✓ find_references | symbolName="Breadcrumb", includeDefinition=true | results: 18 | 2ms
[2026-02-12T04:12:39.479Z] ✓ search_code | query: "useShowContext error isPending isLoading" | limit=10, type="hook" | results: 0 | 31ms
