,,,,,,,,,,,,,,,,,,,,
         Opportunities,,,,,,,,,,Instructions:,"Enter your Opportunities in the table below. An Opportunity is a deal, potential sale, or any other business opportunity. 
The Opportunities listed here can be referenced via dropdowns in the other input sheets.",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"PRIORITY
(Formula)","Organizations
(DropDown)",OPPORTUNITY NAME,Start Date,Start of Week,"STATUS
(DropDown)","STAGE
(DropDown)",EXP. SOLD-7,PROBABILITY,PRINCIPAL,"PRODUCT
(DropDown)"," CASES 
Per Week
VOLUME","DEAL OWNER
(DropDown)","SOURCE
(DropDown)","LOSS REASON
(DropDown)",Notes,,Helper Lookup,,
,D,A.Fusion,LTO-Q3 (2024),1/1/2025,12/30/2024,SOLD-7d,SOLD-7,9/15/2024,100.00%,Kaufholds,Unknown,,Q,MFB,,Trying out 2 flavors (original& Jalapeno) w/ table tents,,D,,
,A,Atlantic Food Distributors ,Curd program,1/1/2025,12/30/2024,Open,SOLD-7,1/1/2025,,Kaufholds,Unknown,50,Gary,Principal,,,,A,,
,A,Bavarian Inn/cheese trap,kaufholds curdtown,3/8/2025,3/3/2025,Open,SOLD-7,3/15/2025,100.00%,Kaufholds,Dill Pickle,10,Gary,,,Will order dill thru dot/gfs,,A,,
,A,Big Eds BBQ,Frites Street,1/16/2025,1/13/2025,Open,SOLD-7,2/1/2025,100.00%,Frites Street,Frites street  waffle,,Michell,Principal,,,,A,,
,A,Caplinger,Annasea and Kaufholds,2/7/2025,2/3/2025,Open,Feedback- received-5,3/1/2025,100.00%,Annasea,Bulk pack,,Gary,,,emailed inviting a sampling,,A,,
,A,Dukes Alehouse,VAF,1/1/2025,12/30/2024,SOLD-7d,SOLD-7,,99.00%,VAF,All,,Michell,Already Known,,"Chef loved the 3/8"". USF",,A,,
,A,EuroUSA,Poke,1/1/2025,12/30/2024,Open,Feedback- received-5,12/5/2024,100.00%,Annasea,Unknown,,Gary,Principal,,Street exclusivity and full sales support for $3/cs marketing allowance-paid quarterly billback,,A,,
,NO PRIORITY,Jesse Oaks ,Kaufhold's,2/17/2025,2/17/2025,SOLD-7d,SOLD-7,2/17/2025,100.00%,Kaufholds,,3,Michell,,,Turned business over to kaufhold's from Molly's cheese curds. ,,0,,
