name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,notes,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,sales_id,created_by,updated_by,deleted_at,import_session_id
86 Food Service,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Allen County School's Food Service,customer,,C,,,+1-224-735-2450,,,,,,"Type: Education

Sales Notes: Director Robin Herrington at 270-618-3181 or Allen County Primary Center at 270-618-7200",,,,,,,,,,,,
Bob Chinn'S Crabhouse,customer,,C,,,+1-847-520-3633,,393 S Milwaukee Ave,Wheeling,IL,60090,Type: Casual,,,,,,,,,,,,
Broken Barrel Bar,customer,,C,,,+1-773-327-4900,,2548 N Southport Ave,Chicago,IL,60614,"Type: Gastropub

Sales Notes: Took Frites Street Fries to the chef and loves the fries. Fries too espensive for them.",,,,,,,,,,,,
Calo Restaurant,prospect,,A,,,,,,Chicago,IN,,"Type: Italian

Sales Notes: Presented CCF; Frank ( Chef) like Cafe Classic Pumpkin, Carmel Apple Crunch and Salted Chocolate CC.",,,,,,,,,,,,
Fatmans,customer,,C,,,+1-847-244-8300,,36309 Skokie Hwy,Gurnee,IL,60031,Type: Casual,,,,,,,,,,,,
Fireside Grille,unknown,,D,,,,,,,,,Sales Notes: GFS,,,,,,,,,,,,
Giant,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Golf Vx,customer,,C,,,,,,Arlington Heights,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Kansas State University,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Lardon,customer,,B,,,,,,,IL,,"Type: Pizza

Sales Notes: Testa VAF BLITZ",,,,,,,,,,,,
Lettuce Entertain You,unknown,,A,,,,,417 N. Ashland Avenue,Chicago,IL,,,,,,,,,,,,,,
Maple Tree Inn,customer,,B,,,,,,Homewood,,,Type: Gastropub,,,,,,,,,,,,
Michigan State University,customer,,A,,,,,,,IL,,"Type: College & Universites

Sales Notes: NRA KAUFHOLDS",,,,,,,,,,,,
PFG,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
PFG - Louisville DC,distributor,,A,,,,,,Brea,OH,,"Type: Distributor

Sales Notes: will buy Bb dogs from gfs and katie swindrl",,,,,,,,,,,,
