name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,description,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,notes,sales_id,created_by,updated_by,deleted_at,import_session_id
86 Food Service,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Allen County School�S Food Service,customer,,C,,,+1-224-735-2450,,,,,,Education,,,,,,,,Director Robin Herrington at 270-618-3181 or Allen County Primary Center at 270-618-7200,,,,,
Bob Chinn'S Crabhouse,customer,,C,,,+1-847-520-3633,,393 S Milwaukee Ave,Wheeling,IL,60090,Casual,,,,,,,,,,,,,
Broken Barrel Bar,customer,,C,,,+1-773-327-4900,,2548 N Southport Ave,Chicago,IL,60614,Gastropub,,,,,,,,Took Frites Street Fries to the chef and loves the fries. Fries too espensive for them.,,,,,
Calo Restaurant,prospect,,A,,,,,,Chicago,IN,,Italian,,,,,,,,"Presented CCF; Frank ( Chef) like Cafe Classic Pumpkin, Carmel Apple Crunch and Salted Chocolate CC.",,,,,
Fatmans,customer,,C,,,+1-847-244-8300,,36309 Skokie Hwy,Gurnee,IL,60031,Casual,,,,,,,,,,,,,
Fireside Grille,unknown,,D,,,,,,,,,,,,,,,,,GFS,,,,,
Giant,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Golf Vx,customer,,C,,,,,,Arlington Heights,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Kansas State University,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Lardon,customer,,B,,,,,,,IL,,Pizza,,,,,,,,Testa VAF BLITZ,,,,,
Lettuce Entertain You,unknown,,A,,,,,417 N. Ashland Avenue,Chicago,IL,,,,,,,,,,,,,,,
Maple Tree Inn,customer,,B,,,,,,Homewood,,,Gastropub,,,,,,,,,,,,,
Michigan State University,customer,,A,,,,,,,IL,,College & Universites,,,,,,,,NRA KAUFHOLDS,,,,,
PFG,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
PFG - Louisville DC,distributor,,A,,,,,,Brea,OH,,Distributor,,,,,,,,will buy Bb dogs from gfs and katie swindrl,,,,,
Purdue,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Purdue University Northwest,unknown,,A,,,,,,,,,,,,,,,,,NRA ANNASEA LEADS,,,,,
Ridge Country Club,prospect,,C,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Rightway Food Service,distributor,,A,,,,,,Lima,OH,,Distributor,,,,,,,,,,,,,
Roots Pizza,customer,,A,,,+1-773-645-4949,,1924 W Chicago Ave,Chicago,IL,60622,Pizza,,,,,,,,Paul Spinale requested we bring his brands here. This will be a cold lead.,,,,,
Square Roots,unknown,,C,,,,,,Wisconsin Dells,,,,,,,,,,,,,,,,
Sysco,customer,,A,,,,,,"39 S Arlington Heights Rd, Elk Grove Village, Il 60007",IL,,Casual,,,,,,,,,,,,,
The Food Institute,unknown,,A,,,,,,,,,,,,,,,,,NRA ANNASEA LEADS,,,,,
The Rose Hotel,prospect,,A,,,,,,,IL,,Travel,,,,,,,,Testa VAF BLITZ,,,,,
The Table at Crate,customer,,A,,,+1-630-590-0063,,35 Oakbrook Center,Oak Brook,IL,60523,Casual,,,,,,,,,,,,,
The Vault Downtown,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
University of Georgia,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Washington State University,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Treetops - Top of Hill,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Double Down Desserts,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Troy Escape,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Saginaw Club,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Riverwalk Grill,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Louhelen Baha'I School,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Bay Cliff Health Camp,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Lincoln Lake Baptist Youth Camp,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Henry Ford College,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Michigan State Police Training Divi,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Mdining- Test Kitchen 689175,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
St Peter Lutheran School Account,customer,,A,,,,,,,MI,,Casual,,,,,,,,GFS NOVI show leads,,,,,
Independence Village of Ames,unknown,,B,,,,,,,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Abbvie Ap30,prospect,,C,,,,,,,,,Business and Industry,,,,,,,,Gfs rosemont 2025 lead,,,,,
Acarath Montessori,unknown,,C,,,,,,North Chicago,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Ami-Gos Tacos,unknown,,C,,,,,,,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Angry Octopus,unknown,,C,,,,,,Lincoln,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Apostolic Church of God,unknown,,C,,,,,,Chicago,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Assembly American Bar & Cafe the,unknown,,C,,,,,,,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Beverly Country Club,unknown,,C,,,,,,St Joseph,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
Countrytime Kettle Korn Mchenry,unknown,,C,,,,,,Springfield,,,,,,,,,,,Gfs rosemont 2025 lead,,,,,
