organization_name,total_copies,id,organization_type,priority,city,state,address,contact_count
MERRILLVILLE REGIONAL MENTAL HEALTH,5,1362,unknown,C,,,,4
MERRILLVILLE REGIONAL MENTAL HEALTH,5,1960,unknown,C,South Beloit,,,4
MERRILLVILLE REGIONAL MENTAL HEALTH,5,1961,unknown,C,,,,4
MERRILLVILLE REGIONAL MENTAL HEALTH,5,1962,unknown,C,MERRILLVILLE,,,4
MERRILLVILLE REGIONAL MENTAL HEALTH,5,1963,unknown,C,MERRILLVILLE,,,4
Faklandia Brewing,4,1372,unknown,C,,,,3
Faklandia Brewing,4,1905,unknown,C,Chicago,,,3
Faklandia Brewing,4,1906,unknown,C,,,,3
Faklandia Brewing,4,1907,unknown,C,St Francis,,,3
GOBLIN AND THE GROCER,4,1361,unknown,C,,,,3
GOBLIN AND THE GROCER,4,1913,unknown,C,,,,3
GOBLIN AND THE GROCER,4,1914,unknown,C,,,,3
GOBLIN AND THE GROCER,4,1915,unknown,C,BEVERLY SHORES,,,3
IVY TECH-E CHICAGO,4,1927,unknown,C,,,,4
IVY TECH-E CHICAGO,4,1928,unknown,C,EAST CHICAGO,,,4
IVY TECH-E CHICAGO,4,1929,unknown,C,EAST CHICAGO,,,4
IVY TECH-E CHICAGO,4,1930,unknown,C,,,,4
Sassy Mac Boys,4,1350,unknown,C,,,,3
Sassy Mac Boys,4,1988,unknown,C,,,,3
Sassy Mac Boys,4,1989,unknown,C,Durand,,,3
Sassy Mac Boys,4,1990,unknown,C,,,,3
BAY CLIFF HEALTH CAMP,3,1296,customer,A,,MI,,3
BAY CLIFF HEALTH CAMP,3,1400,unknown,A,,,,3
BAY CLIFF HEALTH CAMP,3,1550,unknown,A,,MI,,3
Double Down Desserts,3,1281,customer,A,,MI,,3
Double Down Desserts,3,1419,unknown,A,,,,3
Double Down Desserts,3,1569,unknown,A,,MI,,3
DR JOHN WARNER HOSPITAL,3,1332,unknown,C,,,,2
DR JOHN WARNER HOSPITAL,3,1895,unknown,C,,,,2
DR JOHN WARNER HOSPITAL,3,1896,unknown,C,CLINTON,,,2
Golf VX,3,468,customer,C,,,,2
Golf VX,3,1916,unknown,C,,,,2
Golf VX,3,1917,unknown,C,Arlington Heights,,,2
HENRY FORD COLLEGE,3,1302,customer,A,,MI,,3
HENRY FORD COLLEGE,3,1428,unknown,A,,,,3
HENRY FORD COLLEGE,3,1578,unknown,A,,MI,,3
Jelka Leedle,3,1382,unknown,C,,,,2
Jelka Leedle,3,1931,unknown,C,,,,2
Jelka Leedle,3,1932,unknown,C,,,,2
KNIGHTS OF COLUMBUS #1282,3,1339,unknown,C,,,,2
KNIGHTS OF COLUMBUS #1282,3,1941,unknown,C,South holland,,,2
KNIGHTS OF COLUMBUS #1282,3,1942,unknown,C,Dwight,,,2
LINCOLN LAKE BAPTIST YOUTH CAMP,3,1299,customer,A,,MI,,3
LINCOLN LAKE BAPTIST YOUTH CAMP,3,1471,unknown,A,,,,3
LINCOLN LAKE BAPTIST YOUTH CAMP,3,1620,unknown,A,,MI,,3
LOUHELEN BAHA'I SCHOOL,3,1294,customer,A,,MI,,3
LOUHELEN BAHA'I SCHOOL,3,1433,unknown,A,,,,3
LOUHELEN BAHA'I SCHOOL,3,1583,unknown,A,,MI,,3
Lutherdale,3,1948,unknown,C,Ludington,,,3
Lutherdale,3,1949,unknown,C,Elkhorn,,,3
Lutherdale,3,1950,unknown,C,Elkhorn,,,3
MACS,3,1376,unknown,C,,,,2
MACS,3,1951,unknown,C,Elkhorn,,,2
MACS,3,1952,unknown,C,,,,2
Maple Tree Inn,3,678,customer,B,,,,3
Maple Tree Inn,3,1954,unknown,C,,,,3
Maple Tree Inn,3,1955,unknown,C,Homewood,,,3
MDINING- TEST KITCHEN 689175,3,1308,customer,A,,MI,,4
MDINING- TEST KITCHEN 689175,3,1396,unknown,A,,,,4
MDINING- TEST KITCHEN 689175,3,1397,unknown,A,,,,4
MICHIGAN STATE POLICE TRAINING DIVI,3,1306,customer,A,,MI,,4
MICHIGAN STATE POLICE TRAINING DIVI,3,1463,unknown,A,,,,4
MICHIGAN STATE POLICE TRAINING DIVI,3,1612,unknown,A,,MI,,4
Michigan State University,3,719,customer,A,,,,7
Michigan State University,3,1779,unknown,A,,,,7
Michigan State University,3,1846,unknown,C,,IL,,7
NIVRAM BALMORAL NURSING,3,1343,unknown,C,,,,2
NIVRAM BALMORAL NURSING,3,1969,unknown,C,CHICAGO,,,2
NIVRAM BALMORAL NURSING,3,1970,unknown,C,,,,2
Notre Dame-110 South Dining Hall,3,1363,unknown,C,,,,2
