name,organization_type,priority,segment_name,phone,linkedin_url,address,city,state,postal_code,notes
040 KITCHEN INC,unknown,B,,,,,,,,
2d Restaurant,unknown,D,,,,,,,,
"7 K FARMS, INC.",distributor,D,Distributor,,,,,IN,,
U. S. FOODSERVICE--CINCINNATI,unknown,C,,,,,,,,
7 Monks Taproom Grand Rapids,unknown,B,,,,,,,,
8 hospitality group,customer,A,Management Company,,,,,,,"Hubbard Inn, MASQ joy, district parlay joy, parlay, LINKIN PARK, HVAC, pub, LIQR taco pub Cardoza's pub Caf� Banda never have I ever"
86 FOOD SERVICE,unknown,C,,,,,Chicago,IL,,
90 miles Cuban cafe,unknown,C,,,,,,,,
A & G FOODSERVICE,distributor,D,Distributor,,,,Chicago,IL,,
A Little Taste of Texas,customer,C,Casual Dining,,,,Glasgow,KY,,email about samples cheese curds
A Plus Inc DBA: Noodles Etc,unknown,A,,,,,,,,
A&W,customer,B,Chain/Group,,,,,,,
A.Fusion,customer,D,Ethnic Cuisine,,,4601 lincoln Highway,Matteson,IL,,Garlic & Sriracha interest. End up purchasing original &jalape�o from PFG
Abbvie,unknown,C,,,,,,,,
Acaibowl.LLC,unknown,A,,,,,,,,
ACME STEAK & SEAFOOD,distributor,C,Distributor,,,,,OH,,
AJ's Pizza,customer,C,Pizza,,,,,,,
AKRON,unknown,D,,,,,,,,
AL BAWADI GRILL,unknown,D,,,,,,,,FS call.samples dropped.advance to buyer Brian. Send email.
AL PEAKE & SONS INC.,distributor,C,Distributor,,,,,OH,,
Al Peake amd Sons,distributor,A,Distributor,,,,toledo,OH,,Jack Gilbertson buyer- hispanic focus broadliner[wonderjuice and curds
Albanos Pasta,customer,B,Ethnic Cuisine,,,,Valparaiso,IN,,
Ale Emporium,customer,B,Gastropub,,,,,,,
Alice & Friends2,unknown,D,,,,"2201 S. Michigan Ave., Chicago, IL 60616",Chicago,,,
Alice & Friends-Ashland,unknown,D,,,,"1723 N Halsted St, Chicago,",Chicago,,,
ALINEA,customer,A,Fine Dining,+1 (312) 867-0110,,"1723 N Halsted St, Chicago,",Chicago,IL,60614,
All Ways Catering,customer,D,Catering,+1 (312) 363-2431,,110 Turner ave,Elk Grove Village,IL,,
Allen County School�s Food Service,customer,C,Education,,,,,,,
Allen County School�s Food Service,unknown,D,,+1 (224) 735-2450,,,,,,Director Robin Herrington at 270-618-3181 or Allen County Primary Center at 270-618-7200
